"i","j","D_ij","civ_i","civ_j","civ_ij","comciv"
"AE","NO",-0.654816607,"islam","wstrn",NA,0
"AE","NP",-2.722416418,"islam","hindu",NA,0
"AE","NZ",-4.7609170115,"islam","wstrn",NA,0
"AE","OM",-6.084549,"islam","islam","islam",1
"AE","PA",-5.2576685125,"islam","latam",NA,0
"AE","PE",-5.1095685335,"islam","latam",NA,0
"AE","PF",-1.054406,"islam",NA,NA,0
"AE","PG",-5.004374,"islam","wstrn",NA,0
"AE","PH",-5.9395803245,"islam","wstrn",NA,0
"AE","PK",-4.636600337,"islam","islam","islam",1
"AE","PL",-5.94274569,"islam","wstrn",NA,0
"AE","PT",-4.338088975,"islam","wstrn",NA,0
"AE","PY",-6.113861,"islam","latam",NA,0
"AE","QA",-7.0593573055,"islam","islam","islam",1
"AE","RU",-4.41273617,"islam","ortho",NA,0
"AE","SA",-3.432528698,"islam","islam","islam",1
"AE","SD",-0.1457193,"islam","islam","islam",1
"AE","SE",-2.879733313,"islam","wstrn",NA,0
"AE","SG",-5.6166238345,"islam","buddh",NA,0
"AE","SI",-0.000771354000000057,"islam","wstrn",NA,0
"AE","SK",-3.137471372,"islam","wstrn",NA,0
"AE","SN",-4.437851,"islam","islam","islam",1
"AE","SR",-5.316571,"islam",NA,NA,0
"AE","SV",-1.6387002515,"islam","latam",NA,0
"AE","TH",-1.8357816705,"islam","buddh",NA,0
"AE","TN",1.96721,"islam","islam","islam",1
"AE","TR",-3.4373638995,"islam","islam","islam",1
"AE","TT",-6.6518122995,"islam","wstrn",NA,0
"AE","TZ",-11.24013,"islam","afric",NA,0
"AE","UA",-4.1842399725,"islam","ortho",NA,0
"AE","UG",-11.24013,"islam","afric",NA,0
"AE","US",-3.913190331,"islam","wstrn",NA,0
"AE","UY",-2.4800793705,"islam","latam",NA,0
"AE","UZ",2.636898,"islam","islam","islam",1
"AE","VC",-1.098539,"islam","latam",NA,0
"AE","VE",-5.089443192,"islam","latam",NA,0
"AE","VI",-11.24013,"islam",NA,NA,0
"AE","VN",-6.184391744,"islam","sinic",NA,0
"AE","YE",-6.089386,"islam","islam","islam",1
"AE","ZA",-5.9702691635,"islam","afric",NA,0
"AE","ZM",-4.853384,"islam","afric",NA,0
"AE","ZW",-2.329348,"islam","afric",NA,0
"AL","AM",2.359483,"islam","ortho",NA,0
"AL","AO",-5.034871,"islam","afric",NA,0
"AL","AR",-5.909384,"islam","latam",NA,0
"AL","AS",-4.829619,"islam",NA,NA,0
"AL","AT",-3.29461,"islam","wstrn",NA,0
"AL","AU",-6.297062,"islam","wstrn",NA,0
"AL","AW",-11.24013,"islam",NA,NA,0
"AL","AZ",-4.47724,"islam","islam","islam",1
"AL","BA",-5.349718,"islam","ortho",NA,0
"AL","BB",-11.24013,"islam","wstrn",NA,0
"AL","BD",-4.894498,"islam","islam","islam",1
"AL","BE",-4.544982,"islam","wstrn",NA,0
"AL","BF",-11.24013,"islam","afric",NA,0
"AL","BG",-2.309727,"islam","ortho",NA,0
"AL","BI",-2.806459,"islam","afric",NA,0
"AL","BM",-11.24013,"islam","wstrn",NA,0
"AL","BN",-3.126357,"islam","islam","islam",1
"AL","BO",-4.693376,"islam","latam",NA,0
"AL","BR",-6.265825,"islam","latam",NA,0
"AL","BS",-11.24013,"islam","latam",NA,0
"AL","BT",0.06793176,"islam",NA,NA,0
"AL","BW",-5.86919,"islam","afric",NA,0
"AL","BY",1.411298,"islam","ortho",NA,0
"AL","BZ",-11.24013,"islam",NA,NA,0
"AL","CA",-11.24013,"islam","wstrn",NA,0
"AL","CH",-6.349749,"islam","wstrn",NA,0
"AL","CI",-11.24013,"islam","afric",NA,0
"AL","CL",-2.810785,"islam","latam",NA,0
"AL","CM",-4.442439,"islam","afric",NA,0
"AL","CN",-0.3409169,"islam","sinic",NA,0
"AL","CO",-2.641268,"islam","latam",NA,0
"AL","CR",-3.332005,"islam","latam",NA,0
"AL","CY",-4.185584,"islam","ortho",NA,0
"AL","CZ",-4.906814,"islam","wstrn",NA,0
"AL","DE",3.547634,"islam","wstrn",NA,0
"AL","DK",-11.24013,"islam","wstrn",NA,0
"AL","DO",-1.106823,"islam","latam",NA,0
"AL","DZ",-4.657247,"islam","islam","islam",1
"AL","EC",-11.24013,"islam","latam",NA,0
"AL","EE",-4.050701,"islam","wstrn",NA,0
"AL","EG",-5.188826,"islam","islam","islam",1
"AL","ES",-2.741216,"islam","wstrn",NA,0
"AL","ET",-11.24013,"islam",NA,NA,0
"AL","FI",-6.349642,"islam","wstrn",NA,0
"AL","FJ",-4.803,"islam",NA,NA,0
"AL","FR",-1.93345,"islam","wstrn",NA,0
"AL","GA",-4.973595,"islam","afric",NA,0
"AL","GB",-11.24013,"islam","wstrn",NA,0
"AL","GE",-11.24013,"islam","ortho",NA,0
"AL","GH",-11.24013,"islam","afric",NA,0
"AL","GM",-2.621451,"islam","islam","islam",1
"AL","GR",-4.108831,"islam","ortho",NA,0
"AL","GT",-6.510212,"islam","latam",NA,0
"AL","GU",-4.832369,"islam",NA,NA,0
"AL","GY",0.1035925,"islam",NA,NA,0
"AL","HK",-11.24013,"islam","sinic",NA,0
"AL","HN",0.534249,"islam","latam",NA,0
"AL","HR",-1.431615,"islam","wstrn",NA,0
"AL","HT",-2.936654,"islam",NA,NA,0
"AL","HU",-2.206091,"islam","wstrn",NA,0
"AL","ID",-11.24013,"islam","islam","islam",1
"AL","IE",-6.245462,"islam","wstrn",NA,0
"AL","IL",-5.999767,"islam","wstrn",NA,0
"AL","IN",-11.24013,"islam","hindu",NA,0
"AL","IT",1.748256,"islam","wstrn",NA,0
"AL","JM",-5.929232,"islam","wstrn",NA,0
"AL","JO",-11.24013,"islam","islam","islam",1
"AL","JP",-11.24013,"islam",NA,NA,0
"AL","KE",-5.374635,"islam","afric",NA,0
"AL","KH",-3.771719,"islam","buddh",NA,0
"AL","KM",-11.24013,"islam","afric",NA,0
"AL","KR",-0.8365026,"islam","sinic",NA,0
"AL","KW",-11.24013,"islam","islam","islam",1
"AL","KY",-2.259582,"islam","afric",NA,0
"AL","KZ",-3.226975,"islam","ortho",NA,0
"AL","LA",-2.585214,"islam","buddh",NA,0
"AL","LB",-5.221543,"islam","islam","islam",1
"AL","LC",-2.844309,"islam","latam",NA,0
"AL","LK",-11.24013,"islam","buddh",NA,0
"AL","LR",-11.24013,"islam","afric",NA,0
"AL","LT",-3.882862,"islam","wstrn",NA,0
"AL","LU",-11.24013,"islam","wstrn",NA,0
"AL","LV",-11.24013,"islam","wstrn",NA,0
"AL","MA",-6.298283,"islam","islam","islam",1
"AL","MD",-5.162441,"islam","ortho",NA,0
"AL","ME",-11.24013,"islam",NA,NA,0
"AL","MG",-2.227737,"islam","afric",NA,0
"AL","MK",0.5544685,"islam","ortho",NA,0
"AL","ML",-11.24013,"islam","islam","islam",1
"AL","MN",-11.24013,"islam","buddh",NA,0
"AL","MO",-11.24013,"islam",NA,NA,0
"AL","MP",-11.24013,"islam",NA,NA,0
"AL","MR",-11.24013,"islam","afric",NA,0
"AL","MT",-0.409749,"islam","wstrn",NA,0
"AL","MU",-3.884059,"islam","afric",NA,0
"AL","MX",-6.059902,"islam","latam",NA,0
"AL","MY",-6.580664,"islam","islam","islam",1
